M_R_kNm_m,M_Rd_neg_kNm_m,M_Rd_pos_kNm_m,M_sec_neg_kNm_m,M_sec_pos_kNm_m,Px_total_kN,V_sec_neg_kN_m,V_sec_pos_kN_m,d_m,di_bw_mm,dp_m,ds_m,e_span_m,e_support_m,error,f_m,g0k_kN_m2,g1k_kN_m2,h_m,minimal_reinforcement_ok,n_bw,ok,pdx_kN_m,pdy_kN_m,pt_diagnosis,pt_m_rd_neg_kNm_m,pt_m_rd_pos_kNm_m,pt_m_sec_neg_kNm_m,pt_m_sec_pos_kNm_m,pt_q_bend_neg_kN_m2,pt_q_bend_pos_kN_m2,qk_zul_bending_kN_m2,qk_zul_gzt_kN_m2,qk_zul_shear_kN_m2,qs_class_neg,qs_class_pos,qs_req_neg,qs_req_pos,qu_bending_kN_m2,qu_shear_kN_m2,rc_M_R_pos_kNm_m,rc_M_Rd_neg_kNm_m,rc_M_Rd_pos_kNm_m,rc_qk_zul_bending_kN_m2,rc_qk_zul_gzt_kN_m2,rc_qk_zul_shear_kN_m2,rc_uls_governing_mode,rebar_xo_mm,rebar_xu_mm,rebar_yo_mm,rebar_yu_mm,s_bw_mm,sin_beta_x,sin_beta_y,uls_governing_mode,x_neg_m,x_neg_over_ds,x_pos_m,x_pos_over_d
168.5081942397411,-0.005026168522434787,0.005026168522434787,25.52885325,-18.668493,2648.7980799136967,-1.645380000000001,1.645380000000001,0.10400000000000001,16.0,0.14309011701057328,0.10400000000000001,0.053090117010573284,-0.053090117010573284,,0.10618023402114657,4.5,0.0,0.18,False,10,True,264.87980799136966,264.87980799136966,minimal reinforcement failed,-0.005026168522434787,0.005026168522434787,25.52885325,-18.668493,5.009432254541902,9.11944704432277,0.0,0.0,9.984508544619292,99,99,2,1,5.009432254541902,22.064262816928938,18.252,0.0030997202381319168,-0.0030997202381319168,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.042472093608458626,0.042472093608458626,bending,0.23443836438138085,2.2542150421286618,0.23443836438138085,2.2542150421286618
173.53337642909506,-0.009207320323117062,0.009207320323117062,26.2379880625,-19.187062250000004,2599.9450580848757,-1.6910850000000028,1.6910850000000028,0.10900000000000001,16.0,0.14809011701057329,0.10900000000000001,0.05559011701057329,-0.05559011701057329,,0.11118023402114657,4.625,0.0,0.185,False,10,True,259.9945058084876,259.9945058084876,minimal reinforcement failed,-0.009207320323117062,0.009207320323117062,26.2379880625,-19.187062250000004,5.148583150502799,9.372765017779665,0.0,0.0,10.975154293053375,99,99,2,1,5.148583150502799,23.718981439580062,19.280083333333334,0.00017014783384380013,-0.00017014783384380013,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.04447209360845863,0.04447209360845863,bending,0.23414524625040795,2.1481215252331003,0.23414524625040795,2.1481215252331003
178.5863737392021,-0.013860208390883698,0.013860208390883698,26.947122875,-19.7056315,2555.296970274343,-1.736790000000001,1.736790000000001,0.11400000000000002,16.0,0.1530901170105733,0.11400000000000002,0.05809011701057329,-0.05809011701057329,,0.11618023402114658,4.75,0.0,0.19,False,10,True,255.5296970274343,255.5296970274343,minimal reinforcement failed,-0.013860208390883698,0.013860208390883698,26.947122875,-19.7056315,5.287734046463778,9.626082991236762,0.0,0.0,12.006757626131458,99,99,2,1,5.287734046463778,25.435136439197187,20.336333333333336,-0.0031223148332589247,0.0031223148332589247,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.04647209360845863,0.04647209360845863,bending,0.23387735772354473,2.051555769504778,0.23387735772354473,2.051555769504778
183.66622078665384,-0.019005812714557983,0.019005812714557983,27.656257687500002,-20.22420075,2514.333318970406,-1.7824950000000008,1.7824950000000008,0.11900000000000002,16.0,0.1580901170105733,0.11900000000000002,0.06059011701057329,-0.06059011701057329,,0.12118023402114658,4.875,0.0,0.195,False,10,True,251.4333318970406,251.4333318970406,minimal reinforcement failed,-0.019005812714557983,0.019005812714557983,27.656257687500002,-20.22420075,5.42688494242484,9.879400964694069,0.0,0.0,13.079318543853537,99,99,2,1,5.42688494242484,27.212727815780305,21.420750000000005,-0.006791440544790958,0.006791440544790958,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.04847209360845863,0.04847209360845863,bending,0.2336315758157211,1.9632905530732863,0.2336315758157211,1.9632905530732863
188.77205369100912,-0.024666348892533746,0.024666348892533746,28.365392500000002,-20.74277,2476.616107302734,-1.8282000000000007,1.8282000000000007,0.12400000000000003,16.0,0.1630901170105733,0.12400000000000003,0.0630901170105733,-0.0630901170105733,,0.1261802340211466,5.0,0.0,0.2,False,10,True,247.66161073027337,247.66161073027337,minimal reinforcement failed,-0.024666348892533746,0.024666348892533746,28.365392500000002,-20.74277,5.566035838385984,10.132718938151578,0.0,0.0,14.192837046219605,99,99,2,1,5.566035838385984,29.05175556932941,22.533333333333335,-0.010851707969161932,0.010851707969161932,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.05047209360845863,0.05047209360845863,bending,0.23340527254571508,1.882300585046089,0.23340527254571508,1.882300585046089
193.9030907306132,-0.030865365791906615,0.030865365791906615,29.0745273125,-21.261339250000002,2441.7741162770367,-1.8739050000000006,1.8739050000000006,0.12899999999999998,16.0,0.16809011701057328,0.12899999999999998,0.06559011701057328,-0.06559011701057328,,0.13118023402114656,5.125,0.0,0.205,False,10,True,244.17741162770366,244.17741162770366,minimal reinforcement failed,-0.030865365791906615,0.030865365791906615,29.0745273125,-21.261339250000002,5.70518673434721,10.386036911609295,0.0,0.0,15.347313133229667,99,99,2,1,5.70518673434721,30.9522196998445,23.674083333333332,-0.015318347471311354,0.015318347471311354,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.05247209360845863,0.05247209360845863,bending,0.2331962205995609,1.807722640306674,0.2331962205995609,1.807722640306674
199.05861725986804,-0.037627851379608626,0.037627851379608626,29.783662125,-21.779908499999998,2409.4906456765784,-1.9196100000000005,1.9196100000000005,0.13399999999999998,16.0,0.17309011701057328,0.13399999999999998,0.06809011701057328,-0.06809011701057328,,0.13618023402114657,5.25,0.0,0.21,False,10,True,240.94906456765787,240.94906456765787,minimal reinforcement failed,-0.037627851379608626,0.037627851379608626,29.783662125,-21.779908499999998,5.84433763030852,10.639354885067219,0.0,0.0,16.542746804883723,99,99,2,1,5.84433763030852,32.91412020732558,24.842999999999996,-0.020207390536864385,0.020207390536864385,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.05447209360845863,0.05447209360845863,bending,0.23300251977595815,1.7388247744474492,0.23300251977595815,1.7388247744474492
204.2379738314971,-0.044980347840193134,0.044980347840193134,30.4927969375,-22.298477749999996,2379.493859952675,-1.9653150000000006,1.9653150000000006,0.13899999999999998,16.0,0.17809011701057328,0.13899999999999998,0.07059011701057329,-0.07059011701057329,,0.14118023402114657,5.375,0.0,0.215,False,10,True,237.94938599526748,237.94938599526748,minimal reinforcement failed,-0.044980347840193134,0.044980347840193134,30.4927969375,-22.298477749999996,5.983488526269916,10.892672858525353,0.0,0.0,17.779138061181786,99,99,2,1,5.983488526269916,34.93745709177268,26.04008333333333,-0.02553572314786165,0.02553572314786165,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.05647209360845863,0.05647209360845863,bending,0.23282253906161474,1.6749822954073004,0.23282253906161474,1.6749822954073004
209.44054675643176,-0.05295107717542577,0.05295107717542577,31.20193175,-22.817047,2351.549115390476,-2.0110200000000003,2.0110200000000003,0.144,16.0,0.1830901170105733,0.144,0.07309011701057329,-0.07309011701057329,,0.14618023402114658,5.5,0.0,0.22,False,10,True,235.15491153904762,235.15491153904762,minimal reinforcement failed,-0.05295107717542577,0.05295107717542577,31.20193175,-22.817047,6.122639422231399,11.145990831983704,0.0,0.0,19.05648690212384,99,99,2,1,6.122639422231399,37.02223035318576,27.26533333333333,-0.03132114348344171,0.03132114348344171,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.05847209360845863,0.05847209360845863,bending,0.23265487059424153,1.6156588235711218,0.23265487059424153,1.6156588235711218
214.66576053698077,-0.061570078591986106,0.061570078591986106,31.9110665625,-23.335616249999998,2325.4528098615365,-2.0567250000000006,2.0567250000000006,0.149,16.0,0.1880901170105733,0.149,0.07559011701057329,-0.07559011701057329,,0.15118023402114658,5.625,0.0,0.225,False,10,True,232.54528098615367,232.54528098615367,minimal reinforcement failed,-0.061570078591986106,0.061570078591986106,31.9110665625,-23.335616249999998,6.261790318192968,11.399308805442276,0.0,0.0,20.37479332770989,99,99,2,1,6.261790318192968,39.16843999156484,28.518750000000004,-0.03758242436023179,0.03758242436023179,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.060472093608458635,0.060472093608458635,bending,0.2324982927610679,1.5603912265843485,0.2324982927610679,1.5603912265843485
