case,case_id,system,system_id,criterion,optimum,variant,span_l_m,qk_kN_m2,description,structural_system,section_type,geometry,materials,floor_buildup,qk_zul_gzt_kN_m2,w_app_mm,f1_Hz,acoustic_verified,GWP_struct [kg-CO2-eq/m2],GWP_total [kg-CO2-eq/m2],h_struct [m],h_total [m],m_struct [kN/m2],m_total [kN/m2],cost_struct [CHF/m2],cost_total [CHF/m2],geom_b,geom_h,geom_d,geom_ds,geom_c_nom,geom_dp,geom_c_nom_pt,geom_A_p,geom_e_support,geom_e_midspan,geom_l_x,geom_l_y,geom_Psx,geom_Psy,geom_pdx,geom_pdy,geom_Px_total,geom_Py_total,geom_b_w,geom_h_w,geom_h_c,geom_a_ribs,geom_s,geom_l0,geom_rebar_d,geom_rebar_s,geom_rebar_layers,geom_as_rebar,geom_a,geom_t2,geom_t3,geom_h_f,mat_readymixedconcrete_mech,mat_readymixedconcrete_product,mat_steelreinforcingbar_mech,mat_steelreinforcingbar_product,mat_prestressingsteel_mech,mat_prestressingsteel_product,mat_wood_mech,mat_wood_product,mat_connectortcc_mech,material_family,material_signature
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,10,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.19556 | d=0.14961 | ds=0.14623 | c_nom=0.02 | x,u: d=12 mm, s=150 mm | x,o: d=19 mm, s=150 mm | y,u: d=12 mm, s=150 mm | y,o: d=19 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,15.0803,2.4558,True,57.26387687023453,78.64787687023453,0.1955583261351377,0.2695583261351377,4.888958153378442,6.299358153378442,208.5900098429883,338.9410098429884,1.0,0.19556,0.14961,0.14623,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,3,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.29618 | d=0.25181 | ds=0.25321 | c_nom=0.02 | x,u: d=9 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=9 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.0466,44.1188,True,60.39398753190698,81.77798753190697,0.2961767247420108,0.3701767247420109,7.404418118550272,8.81481811855027,157.5948672390222,287.9458672390222,1.0,0.29618,0.25181,0.25321,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,5,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.27035 | d=0.24594 | ds=0.24702 | c_nom=0.02 | x,u: d=8 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=8 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=0 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.4384,14.3136,True,55.02926541315644,76.41326541315644,0.2703539935005195,0.3443539935005195,6.758849837512988,8.16924983751299,149.9428359382462,280.2938359382462,1.0,0.27035,0.24594,0.24702,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,6,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.16 | d=0.11404 | ds=0.11514 | c_nom=0.02 | x,u: d=12 mm, s=150 mm | x,o: d=10 mm, s=150 mm | y,u: d=12 mm, s=150 mm | y,o: d=10 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,3.153,5.3701,True,40.03684337731973,61.42084337731973,0.1600000000939751,0.2340000000939751,4.000000002349378,5.410400002349379,153.3146051501503,283.6656051501503,1.0,0.16,0.11404,0.11514,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,7,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.50528 | d=0.46294 | ds=0.46856 | c_nom=0.02 | x,u: d=19 mm, s=150 mm | x,o: d=7 mm, s=150 mm | y,u: d=19 mm, s=150 mm | y,o: d=7 mm, s=150 mm | shear: d=13 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.4223,14.6737,True,111.3950870496614,132.7790870496614,0.5052822526918052,0.5792822526918051,12.63205631729513,14.04245631729513,253.9276958438547,384.2786958438547,1.0,0.50528,0.46294,0.46856,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,8,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.16 | d=0.11413 | ds=0.11196 | c_nom=0.02 | x,u: d=12 mm, s=150 mm | x,o: d=16 mm, s=150 mm | y,u: d=12 mm, s=150 mm | y,o: d=16 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,9.9194,3.0207,True,46.68078244955235,68.06478244955235,0.1600000002281031,0.2340000002281031,4.000000005702577,5.410400005702577,183.5227135042081,313.8737135042081,1.0,0.16,0.11413,0.11196,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS2,C20/25' + 'B500B,rc_rec,10,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.29315 | d=0.26638 | ds=0.26724 | c_nom=0.02 | x,u: d=14 mm, s=150 mm | x,o: d=12 mm, s=150 mm | y,u: d=14 mm, s=150 mm | y,o: d=12 mm, s=150 mm | shear: d=0 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,5.9045,3.9247,True,68.42666600138908,89.81066600138908,0.2931542497675096,0.3671542497675097,7.328856244187741,8.739256244187741,196.0765294288367,326.4275294288367,1.0,0.29315,0.26638,0.26724,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,FIRE,C20/25' + 'B500B,rc_rec,3,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.35746 | d=0.31274 | ds=0.31449 | c_nom=0.02 | x,u: d=10 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=10 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.0305,54.5327,True,72.46252599790354,93.84652599790354,0.3574630432144467,0.4314630432144467,8.936576080361169,10.34697608036117,172.7376319297205,303.0886319297205,1.0,0.35746,0.31274,0.31449,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,FIRE,C20/25' + 'B500B,rc_rec,5,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.21091 | d=0.16722 | ds=0.16349 | c_nom=0.02 | x,u: d=8 mm, s=150 mm | x,o: d=15 mm, s=150 mm | y,u: d=8 mm, s=150 mm | y,o: d=15 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.7792,10.7363,True,51.63888822981998,73.02288822981998,0.2109111416517024,0.2849111416517024,5.27277854129256,6.68317854129256,173.062166281333,303.413166281333,1.0,0.21091,0.16722,0.16349,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,FIRE,C20/25' + 'B500B,rc_rec,6,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.47261 | d=0.42424 | ds=0.43053 | c_nom=0.02 | x,u: d=19 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=19 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=19 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.2638,18.5664,True,105.3166739535406,126.7006739535406,0.4726089114744494,0.5466089114744493,11.81522278686124,13.22562278686124,247.4716893454373,377.8226893454373,1.0,0.47261,0.42424,0.43053,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
